stockCode,stockName,sector,sectorCount,date
605050,福然德,汽车一体化压铸,17,2023-04-23
603978,深圳新星,汽车一体化压铸,17,2023-04-23
301398,星源卓镁,汽车一体化压铸,17,2023-04-23
2101,广东鸿图,汽车一体化压铸,17,2023-04-23
2547,春兴精工,汽车一体化压铸,17,2023-04-23
603663,三祥新材,汽车一体化压铸,17,2023-04-23
2863,今飞凯达,汽车一体化压铸,17,2023-04-23
1696,宗申动力,汽车一体化压铸,17,2023-04-23
2997,瑞鹄模具,汽车一体化压铸,17,2023-04-23
300415,伊之密,汽车一体化压铸,17,2023-04-23
300428,立中集团,汽车一体化压铸,17,2023-04-23
2085,万丰奥威,汽车一体化压铸,17,2023-04-23
2182,云海金属,汽车一体化压铸,17,2023-04-23
300328,宜安科技,汽车一体化压铸,17,2023-04-23
601689,拓普集团,汽车一体化压铸,17,2023-04-23
603348,文灿股份,汽车一体化压铸,17,2023-04-23
603982,泉峰汽车,汽车一体化压铸,17,2023-04-23
