stockCode,stockName,sector,sectorCount,date
2321,ST华英,河南板块,109,2023-04-23
839725,惠丰钻石,河南板块,109,2023-04-23
600285,羚锐制药,河南板块,109,2023-04-23
300908,仲景食品,河南板块,109,2023-04-23
300910,瑞丰新材,河南板块,109,2023-04-23
300437,清水源,河南板块,109,2023-04-23
300248,新开普,河南板块,109,2023-04-23
301361,众智科技,河南板块,109,2023-04-23
600531,豫光金铅,河南板块,109,2023-04-23
949,新乡化纤,河南板块,109,2023-04-23
601666,平煤股份,河南板块,109,2023-04-23
601717,郑煤机,河南板块,109,2023-04-23
2132,恒星科技,河南板块,109,2023-04-23
872895,花溪科技,河南板块,109,2023-04-23
300850,新强联,河南板块,109,2023-04-23
600469,风神股份,河南板块,109,2023-04-23
301277,新天地,河南板块,109,2023-04-23
2582,好想你,河南板块,109,2023-04-23
600020,中原高速,河南板块,109,2023-04-23
688357,建龙微纳,河南板块,109,2023-04-23
2936,郑州银行,河南板块,109,2023-04-23
600121,郑州煤电,河南板块,109,2023-04-23
301071,力量钻石,河南板块,109,2023-04-23
600876,凯盛新能,河南板块,109,2023-04-23
601608,中信重工,河南板块,109,2023-04-23
2448,中原内配,河南板块,109,2023-04-23
300845,捷安高科,河南板块,109,2023-04-23
688119,中钢洛耐,河南板块,109,2023-04-23
833580,科创新材,河南板块,109,2023-04-23
2601,龙佰集团,河南板块,109,2023-04-23
833454,同心传动,河南板块,109,2023-04-23
300263,隆华科技,河南板块,109,2023-04-23
605368,蓝天燃气,河南板块,109,2023-04-23
834407,驰诚股份,河南板块,109,2023-04-23
544,中原环保,河南板块,109,2023-04-23
301182,凯旺科技,河南板块,109,2023-04-23
3008,开普检测,河南板块,109,2023-04-23
603993,洛阳钼业,河南板块,109,2023-04-23
300732,设研院,河南板块,109,2023-04-23
603658,安图生物,河南板块,109,2023-04-23
2613,北玻股份,河南板块,109,2023-04-23
603508,思维列控,河南板块,109,2023-04-23
1896,豫能控股,河南板块,109,2023-04-23
838402,硅烷科技,河南板块,109,2023-04-23
2358,森源电气,河南板块,109,2023-04-23
300259,新天科技,河南板块,109,2023-04-23
834415,恒拓开源,河南板块,109,2023-04-23
2560,通达股份,河南板块,109,2023-04-23
601677,明泰铝业,河南板块,109,2023-04-23
300829,金丹科技,河南板块,109,2023-04-23
2046,国机精工,河南板块,109,2023-04-23
2423,中粮资本,河南板块,109,2023-04-23
832225,利通科技,河南板块,109,2023-04-23
600439,瑞贝卡,河南板块,109,2023-04-23
719,中原传媒,河南板块,109,2023-04-23
895,双汇发展,河南板块,109,2023-04-23
600172,黄河旋风,河南板块,109,2023-04-23
688517,金冠电气,河南板块,109,2023-04-23
2225,濮耐股份,河南板块,109,2023-04-23
600207,安彩高科,河南板块,109,2023-04-23
300480,光力科技,河南板块,109,2023-04-23
300481,濮阳惠成,河南板块,109,2023-04-23
2431,棕榈股份,河南板块,109,2023-04-23
835207,众诚科技,河南板块,109,2023-04-23
2179,中航光电,河南板块,109,2023-04-23
300007,汉威科技,河南板块,109,2023-04-23
300109,新开源,河南板块,109,2023-04-23
300080,易成新能,河南板块,109,2023-04-23
838971,天马新材,河南板块,109,2023-04-23
831087,秋乐种业,河南板块,109,2023-04-23
885,城发环境,河南板块,109,2023-04-23
300807,天迈科技,河南板块,109,2023-04-23
600569,安阳钢铁,河南板块,109,2023-04-23
300179,四方达,河南板块,109,2023-04-23
300614,百川畅银,河南板块,109,2023-04-23
600066,宇通客车,河南板块,109,2023-04-23
1215,千味央厨,河南板块,109,2023-04-23
688313,仕佳光子,河南板块,109,2023-04-23
2189,中光学,河南板块,109,2023-04-23
300701,森霸传感,河南板块,109,2023-04-23
300013,新宁物流,河南板块,109,2023-04-23
2087,新野纺织,河南板块,109,2023-04-23
301089,拓新药业,河南板块,109,2023-04-23
600312,平高电气,河南板块,109,2023-04-23
301207,华兰疫苗,河南板块,109,2023-04-23
603566,普莱柯,河南板块,109,2023-04-23
933,神火股份,河南板块,109,2023-04-23
2407,多氟多,河南板块,109,2023-04-23
2406,远东传动,河南板块,109,2023-04-23
600595,中孚实业,河南板块,109,2023-04-23
400,许继电气,河南板块,109,2023-04-23
600781,*ST辅仁,河南板块,109,2023-04-23
601038,一拖股份,河南板块,109,2023-04-23
2535,ST林重,河南板块,109,2023-04-23
2536,飞龙股份,河南板块,109,2023-04-23
600222,太龙药业,河南板块,109,2023-04-23
600403,大有能源,河南板块,109,2023-04-23
601375,中原证券,河南板块,109,2023-04-23
2296,辉煌科技,河南板块,109,2023-04-23
2714,牧原股份,河南板块,109,2023-04-23
301152,天力锂能,河南板块,109,2023-04-23
688626,翔宇医疗,河南板块,109,2023-04-23
600186,莲花健康,河南板块,109,2023-04-23
600810,神马股份,河南板块,109,2023-04-23
2216,三全食品,河南板块,109,2023-04-23
612,焦作万方,河南板块,109,2023-04-23
2007,华兰生物,河南板块,109,2023-04-23
600817,宇通重工,河南板块,109,2023-04-23
2857,三晖电气,河南板块,109,2023-04-23
