,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,stockCode
0,2022-08-05,121.6,147.95,158.15,121.6,305482,4283903457.0,63.45,156.86,90.35,76.57,301095
1,2022-08-08,150.74,141.93,161.6,139.6,216895,3262683631.0,14.87,-4.07,-6.02,54.37,301095
2,2022-08-09,132.6,129.4,132.6,118.71,172865,2172348870.0,9.79,-8.83,-12.53,43.33,301095
3,2022-08-10,124.54,125.59,135.26,122.48,124797,1623529280.0,9.88,-2.94,-3.81,31.28,301095
4,2022-08-11,129.6,129.48,134.47,127.6,112384,1474806773.0,5.47,3.1,3.89,28.17,301095
5,2022-08-12,126.9,114.61,132.18,114.61,120905,1484556601.0,13.57,-11.48,-14.87,30.31,301095
6,2022-08-15,118.6,117.85,126.59,117.6,102157,1246552781.0,7.84,2.83,3.24,25.61,301095
7,2022-08-16,114.6,112.85,116.12,109.27,86969,984870558.0,5.81,-4.24,-5.0,21.8,301095
8,2022-08-17,112.6,108.5,112.6,108.3,60924,669189175.0,3.81,-3.85,-4.35,15.27,301095
9,2022-08-18,107.6,113.1,116.09,106.39,79892,895478336.0,8.94,4.24,4.6,20.03,301095
10,2022-08-19,112.1,107.43,115.1,107.2,55928,621020449.0,6.98,-5.01,-5.67,14.02,301095
11,2022-08-22,105.45,105.54,109.2,103.3,49511,522896962.0,5.49,-1.76,-1.89,12.41,301095
12,2022-08-23,105.03,109.96,111.59,105.03,55553,606900701.0,6.22,4.19,4.42,13.92,301095
13,2022-08-24,109.71,109.98,112.69,106.61,53039,586901875.0,5.53,0.02,0.02,13.29,301095
14,2022-08-25,108.81,97.28,109.7,96.29,65271,663638262.0,12.19,-11.55,-12.7,16.36,301095
15,2022-08-26,97.61,89.4,98.3,88.31,75456,698206882.0,10.27,-8.1,-7.88,18.91,301095
16,2022-08-29,87.6,91.6,92.9,87.1,43494,398480016.0,6.49,2.46,2.2,10.9,301095
17,2022-08-30,91.85,92.02,95.97,91.49,38394,361499157.0,4.89,0.46,0.42,9.62,301095
18,2022-08-31,91.61,88.32,94.48,87.92,42903,391091806.0,7.13,-4.02,-3.7,10.75,301095
19,2022-09-01,90.61,89.9,94.3,89.28,36262,333949162.0,5.68,1.79,1.58,9.09,301095
20,2022-09-02,89.61,90.3,91.51,88.11,27497,249088285.0,3.78,0.44,0.4,6.89,301095
21,2022-09-05,89.61,86.68,89.79,85.26,35135,308230813.0,5.02,-4.01,-3.62,8.81,301095
22,2022-09-06,86.68,86.84,87.4,85.48,21005,182001805.0,2.22,0.18,0.16,5.27,301095
23,2022-09-07,88.1,90.31,92.09,87.94,48290,438575476.0,4.78,4.0,3.47,12.1,301095
24,2022-09-08,88.59,93.54,95.37,88.4,58306,542996199.0,7.72,3.58,3.23,14.61,301095
25,2022-09-09,93.49,98.93,102.78,93.49,70098,688836108.0,9.93,5.76,5.39,17.57,301095
26,2022-09-13,97.27,96.41,103.78,95.95,49801,499173105.0,7.91,-2.55,-2.52,12.48,301095
27,2022-09-14,94.6,103.36,105.15,93.87,59910,608140098.0,11.7,7.21,6.95,15.02,301095
28,2022-09-15,101.6,105.9,106.36,101.2,70134,731014981.0,4.99,2.46,2.54,17.58,301095
29,2022-09-16,104.6,106.99,114.88,103.61,75476,824047286.0,10.64,1.03,1.09,18.92,301095
30,2022-09-19,104.6,100.48,109.1,99.6,54668,565747042.0,8.88,-6.08,-6.51,13.7,301095
31,2022-09-20,100.48,101.16,102.38,97.37,35417,355325381.0,4.99,0.68,0.68,8.88,301095
32,2022-09-21,98.6,99.6,103.4,95.3,38913,391434204.0,8.01,-1.54,-1.56,9.75,301095
33,2022-09-22,99.6,107.26,110.0,99.56,50021,534084508.0,10.48,7.69,7.66,12.54,301095
34,2022-09-23,106.8,105.12,108.48,101.88,43790,463703389.0,6.15,-2.0,-2.14,10.98,301095
35,2022-09-26,104.4,101.75,107.59,101.12,31954,331492291.0,6.15,-3.21,-3.37,8.01,301095
36,2022-09-27,102.6,108.1,108.11,101.34,40354,425941470.0,6.65,6.24,6.35,10.12,301095
37,2022-09-28,107.09,105.9,113.26,105.8,45965,504006029.0,6.9,-2.04,-2.2,11.52,301095
38,2022-09-29,108.0,110.49,111.5,104.48,40283,437594466.0,6.63,4.33,4.59,10.1,301095
39,2022-09-30,109.23,104.58,110.91,102.68,35798,382312839.0,7.45,-5.35,-5.91,8.97,301095
40,2022-10-10,103.1,88.48,103.1,87.92,54179,504236516.0,14.52,-15.39,-16.1,13.58,301095
41,2022-10-11,89.28,91.3,94.27,88.17,37193,340970813.0,6.89,3.19,2.82,9.32,301095
42,2022-10-12,90.6,94.67,95.06,86.2,42941,393379610.0,9.7,3.69,3.37,10.76,301095
43,2022-10-13,92.77,99.53,100.58,92.73,42454,418564379.0,8.29,5.13,4.86,10.64,301095
44,2022-10-14,100.5,99.48,102.91,96.82,27957,277733591.0,6.12,-0.05,-0.05,7.01,301095
45,2022-10-17,98.6,104.49,106.39,98.6,36519,375626780.0,7.83,5.04,5.01,9.15,301095
46,2022-10-18,104.6,104.85,105.74,101.52,27431,285173915.0,4.04,0.34,0.36,6.88,301095
47,2022-10-19,103.62,102.7,106.57,102.35,23229,243261412.0,4.02,-2.05,-2.15,5.82,301095
48,2022-10-20,100.62,114.68,116.1,100.61,54226,598720224.0,15.08,11.67,11.98,13.59,301095
49,2022-10-21,112.61,113.31,115.34,109.6,32404,365939979.0,5.01,-1.19,-1.37,8.12,301095
50,2022-10-24,114.12,117.6,121.6,113.48,40937,487829595.0,7.17,3.79,4.29,10.26,301095
51,2022-10-25,118.6,115.04,120.86,113.8,32567,380666912.0,6.0,-2.18,-2.56,8.16,301095
52,2022-10-26,114.18,118.31,120.56,112.51,30191,355358205.0,7.0,2.84,3.27,7.57,301095
53,2022-10-27,117.6,117.6,120.1,114.35,29109,342965282.0,4.86,-0.6,-0.71,7.3,301095
54,2022-10-28,116.53,116.81,123.58,115.6,28740,346018942.0,6.79,-0.67,-0.79,7.2,301095
55,2022-10-31,115.25,121.63,122.18,114.6,27481,328597846.0,6.49,4.13,4.82,6.89,301095
56,2022-11-01,120.12,120.64,121.87,115.78,25545,303966269.0,5.01,-0.81,-0.99,6.4,301095
57,2022-11-02,122.26,115.12,124.2,112.85,34247,405308947.0,9.41,-4.58,-5.52,8.58,301095
58,2022-11-03,112.61,121.16,122.6,112.61,31507,375374055.0,8.68,5.25,6.04,7.9,301095
59,2022-11-04,120.59,121.33,122.46,117.1,23345,280188907.0,4.42,0.14,0.17,5.85,301095
60,2022-11-07,121.32,116.3,122.78,114.35,26942,316982266.0,6.95,-4.15,-5.03,6.75,301095
61,2022-11-08,116.61,115.29,118.4,113.84,14369,166650391.0,3.92,-0.87,-1.01,3.6,301095
62,2022-11-09,114.6,114.06,116.65,112.67,13701,157570028.0,3.45,-1.07,-1.23,3.43,301095
63,2022-11-10,113.6,108.22,118.37,107.6,28144,316197081.0,9.44,-5.12,-5.84,7.05,301095
64,2022-11-11,112.6,109.93,118.68,109.7,33822,387502948.0,8.3,1.58,1.71,8.48,301095
65,2022-11-14,108.72,107.93,111.1,106.26,16072,174469642.0,4.4,-1.82,-2.0,4.03,301095
66,2022-11-15,109.95,113.41,114.53,108.74,22164,249647363.0,5.36,5.08,5.48,5.56,301095
67,2022-11-16,114.53,107.7,114.53,107.26,25992,286689831.0,6.41,-5.03,-5.71,6.52,301095
68,2022-11-17,107.6,110.6,110.83,106.4,19885,217192676.0,4.11,2.69,2.9,4.98,301095
69,2022-11-18,109.25,105.9,112.0,105.45,21059,228823570.0,5.92,-4.25,-4.7,5.28,301095
