stockCode,stockName,sector,sectorCount,date
2129,TCL中环,HIT电池,33,2023-06-24
2309,ST中利,HIT电池,33,2023-06-24
300706,阿石创,HIT电池,33,2023-06-24
600438,通威股份,HIT电池,33,2023-06-24
300842,帝科股份,HIT电池,33,2023-06-24
601012,隆基绿能,HIT电池,33,2023-06-24
300724,捷佳伟创,HIT电池,33,2023-06-24
300093,金刚光伏,HIT电池,33,2023-06-24
2860,星帅尔,HIT电池,33,2023-06-24
600481,双良节能,HIT电池,33,2023-06-24
300051,三五互联,HIT电池,33,2023-06-24
603051,鹿山新材,HIT电池,33,2023-06-24
2079,苏州固锝,HIT电池,33,2023-06-24
688429,时创能源,HIT电池,33,2023-06-24
300956,英力股份,HIT电池,33,2023-06-24
600151,航天机电,HIT电池,33,2023-06-24
2459,晶澳科技,HIT电池,33,2023-06-24
688472,阿特斯,HIT电池,33,2023-06-24
603077,和邦生物,HIT电池,33,2023-06-24
2610,爱康科技,HIT电池,33,2023-06-24
2350,北京科锐,HIT电池,33,2023-06-24
300716,泉为科技,HIT电池,33,2023-06-24
600620,天宸股份,HIT电池,33,2023-06-24
821,京山轻机,HIT电池,33,2023-06-24
688359,三孚新科,HIT电池,33,2023-06-24
601615,明阳智能,HIT电池,33,2023-06-24
603396,金辰股份,HIT电池,33,2023-06-24
300118,东方日升,HIT电池,33,2023-06-24
300117,嘉寓股份,HIT电池,33,2023-06-24
300757,罗博特科,HIT电池,33,2023-06-24
688503,聚和材料,HIT电池,33,2023-06-24
2506,协鑫集成,HIT电池,33,2023-06-24
300751,迈为股份,HIT电池,33,2023-06-24
600546,山煤国际,HIT电池,33,2023-06-24
