stockCode,stockName,sector,sectorCount,date
204001,GC001,国债逆回购,18,2023-06-24
204091,GC091,国债逆回购,18,2023-06-24
131801,R-007,国债逆回购,18,2023-06-24
131810,R-001,国债逆回购,18,2023-06-24
131802,R-014,国债逆回购,18,2023-06-24
131811,R-002,国债逆回购,18,2023-06-24
131800,R-003,国债逆回购,18,2023-06-24
204182,GC182,国债逆回购,18,2023-06-24
131803,R-028,国债逆回购,18,2023-06-24
131806,R-182,国债逆回购,18,2023-06-24
131805,R-091,国债逆回购,18,2023-06-24
131809,R-004,国债逆回购,18,2023-06-24
204007,GC007,国债逆回购,18,2023-06-24
204003,GC003,国债逆回购,18,2023-06-24
204028,GC028,国债逆回购,18,2023-06-24
204002,GC002,国债逆回购,18,2023-06-24
204014,GC014,国债逆回购,18,2023-06-24
204004,GC004,国债逆回购,18,2023-06-24
