stockCode,stockName,sector,sectorCount,date
201872,招港B,B股,86,2023-06-24
200550,江铃Ｂ,B股,86,2023-06-24
200025,特力Ｂ,B股,86,2023-06-24
200026,飞亚达Ｂ,B股,86,2023-06-24
200020,深华发Ｂ,B股,86,2023-06-24
200553,安道麦B,B股,86,2023-06-24
900956,东贝Ｂ股,B股,86,2023-06-24
900955,退市海B,B股,86,2023-06-24
900957,凌云Ｂ股,B股,86,2023-06-24
200029,深深房Ｂ,B股,86,2023-06-24
900952,锦港Ｂ股,B股,86,2023-06-24
200028,一致Ｂ,B股,86,2023-06-24
900951,退市大化,B股,86,2023-06-24
900953,凯马Ｂ,B股,86,2023-06-24
200030,富奥B,B股,86,2023-06-24
200160,东沣B退,B股,86,2023-06-24
200037,深南电B,B股,86,2023-06-24
200168,*ST舜喆B,B股,86,2023-06-24
200541,粤照明Ｂ,B股,86,2023-06-24
200725,京东方Ｂ,B股,86,2023-06-24
200726,鲁泰Ｂ,B股,86,2023-06-24
200706,瓦轴B,B股,86,2023-06-24
200869,张裕Ｂ,B股,86,2023-06-24
900938,海科B,B股,86,2023-06-24
900937,华电B股,B股,86,2023-06-24
200530,冰山B,B股,86,2023-06-24
900939,汇丽B,B股,86,2023-06-24
900930,*ST沪普B,B股,86,2023-06-24
900932,陆家Ｂ股,B股,86,2023-06-24
200539,粤电力Ｂ,B股,86,2023-06-24
900934,锦江Ｂ股,B股,86,2023-06-24
900936,鄂资Ｂ股,B股,86,2023-06-24
200012,南玻Ｂ,B股,86,2023-06-24
200011,深物业B,B股,86,2023-06-24
200521,虹美菱B,B股,86,2023-06-24
900948,伊泰Ｂ股,B股,86,2023-06-24
200016,深康佳Ｂ,B股,86,2023-06-24
900943,开开Ｂ股,B股,86,2023-06-24
200019,深粮B,B股,86,2023-06-24
900942,黄山Ｂ股,B股,86,2023-06-24
200018,神城B退,B股,86,2023-06-24
900941,东信Ｂ股,B股,86,2023-06-24
200468,宁通信B,B股,86,2023-06-24
200017,深中华B,B股,86,2023-06-24
900940,大名城B,B股,86,2023-06-24
900947,振华Ｂ股,B股,86,2023-06-24
900946,天雁B股,B股,86,2023-06-24
900945,海控B股,B股,86,2023-06-24
900908,氯碱Ｂ股,B股,86,2023-06-24
900909,华谊B股,B股,86,2023-06-24
200418,小天鹅Ｂ,B股,86,2023-06-24
900904,神奇B股,B股,86,2023-06-24
900905,老凤祥Ｂ,B股,86,2023-06-24
200413,东旭B,B股,86,2023-06-24
900906,中毅达B,B股,86,2023-06-24
900907,退市鹏B,B股,86,2023-06-24
900901,云赛Ｂ股,B股,86,2023-06-24
900902,市北B股,B股,86,2023-06-24
900903,大众Ｂ股,B股,86,2023-06-24
200596,古井贡Ｂ,B股,86,2023-06-24
200986,粤华包Ｂ,B股,86,2023-06-24
200512,闽灿坤Ｂ,B股,86,2023-06-24
200613,东海B退,B股,86,2023-06-24
200581,苏威孚Ｂ,B股,86,2023-06-24
200505,京粮B,B股,86,2023-06-24
200488,晨鸣Ｂ,B股,86,2023-06-24
200992,中鲁Ｂ,B股,86,2023-06-24
900926,宝信Ｂ,B股,86,2023-06-24
200761,本钢板Ｂ,B股,86,2023-06-24
900927,物贸Ｂ股,B股,86,2023-06-24
900928,临港B股,B股,86,2023-06-24
900929,锦旅Ｂ股,B股,86,2023-06-24
200058,深赛格B,B股,86,2023-06-24
900920,动力Ｂ股,B股,86,2023-06-24
900921,丹科B股,B股,86,2023-06-24
200053,深基地Ｂ,B股,86,2023-06-24
900922,三毛B股,B股,86,2023-06-24
200570,苏常柴Ｂ,B股,86,2023-06-24
200054,建车B,B股,86,2023-06-24
900923,百联Ｂ股,B股,86,2023-06-24
200055,方大Ｂ,B股,86,2023-06-24
900924,上工Ｂ股,B股,86,2023-06-24
200056,皇庭B,B股,86,2023-06-24
900925,机电Ｂ股,B股,86,2023-06-24
900917,海欣Ｂ股,B股,86,2023-06-24
900918,耀皮Ｂ股,B股,86,2023-06-24
900915,中路Ｂ股,B股,86,2023-06-24
900916,凤凰B股,B股,86,2023-06-24
200771,杭汽轮Ｂ,B股,86,2023-06-24
200429,粤高速Ｂ,B股,86,2023-06-24
900919,退市庭B,B股,86,2023-06-24
900910,海立Ｂ股,B股,86,2023-06-24
900913,国新B股,B股,86,2023-06-24
200045,深纺织Ｂ,B股,86,2023-06-24
900914,锦在线B,B股,86,2023-06-24
900911,金桥Ｂ股,B股,86,2023-06-24
200152,山航B退,B股,86,2023-06-24
900912,外高Ｂ股,B股,86,2023-06-24
200625,长安Ｂ,B股,86,2023-06-24
