stockCode,stockName,sector,sectorCount,date
300529,健帆生物,深港通,1738,2023-06-24
300525,博思软件,深港通,1738,2023-06-24
300526,中潜退,深港通,1738,2023-06-24
300527,中船应急,深港通,1738,2023-06-24
300520,科大国创,深港通,1738,2023-06-24
301269,华大九天,深港通,1738,2023-06-24
301268,铭利达,深港通,1738,2023-06-24
300523,辰安科技,深港通,1738,2023-06-24
301267,华厦眼科,深港通,1738,2023-06-24
301266,宇邦新材,深港通,1738,2023-06-24
301263,泰恩康,深港通,1738,2023-06-24
301260,格力博,深港通,1738,2023-06-24
300916,朗特智能,深港通,1738,2023-06-24
300910,瑞丰新材,深港通,1738,2023-06-24
300911,亿田智能,深港通,1738,2023-06-24
300147,香雪制药,深港通,1738,2023-06-24
300146,汤臣倍健,深港通,1738,2023-06-24
300149,睿智医药,深港通,1738,2023-06-24
300148,天舟文化,深港通,1738,2023-06-24
300143,盈康生命,深港通,1738,2023-06-24
300142,沃森生物,深港通,1738,2023-06-24
300145,中金环境,深港通,1738,2023-06-24
300144,宋城演艺,深港通,1738,2023-06-24
300130,新国都,深港通,1738,2023-06-24
300518,盛讯达,深港通,1738,2023-06-24
300516,久之洋,深港通,1738,2023-06-24
300511,雪榕生物,深港通,1738,2023-06-24
300512,中亚股份,深港通,1738,2023-06-24
300919,中伟股份,深港通,1738,2023-06-24
301278,快可电子,深港通,1738,2023-06-24
300925,法本信息,深港通,1738,2023-06-24
300138,晨光生物,深港通,1738,2023-06-24
300137,先河环保,深港通,1738,2023-06-24
300136,信维通信,深港通,1738,2023-06-24
300134,大富科技,深港通,1738,2023-06-24
300133,华策影视,深港通,1738,2023-06-24
300132,青松股份,深港通,1738,2023-06-24
300131,英唐智控,深港通,1738,2023-06-24
300548,博创科技,深港通,1738,2023-06-24
301246,宏源药业,深港通,1738,2023-06-24
300129,泰胜风能,深港通,1738,2023-06-24
300128,锦富技术,深港通,1738,2023-06-24
300123,亚光科技,深港通,1738,2023-06-24
300122,智飞生物,深港通,1738,2023-06-24
300125,聆达股份,深港通,1738,2023-06-24
300124,汇川技术,深港通,1738,2023-06-24
300127,银河磁体,深港通,1738,2023-06-24
300533,冰川网络,深港通,1738,2023-06-24
300531,优博讯,深港通,1738,2023-06-24
300532,今天国际,深港通,1738,2023-06-24
300119,瑞普生物,深港通,1738,2023-06-24
300118,东方日升,深港通,1738,2023-06-24
300942,易瑞生物,深港通,1738,2023-06-24
300111,向日葵,深港通,1738,2023-06-24
300110,华仁药业,深港通,1738,2023-06-24
300116,保力新,深港通,1738,2023-06-24
300115,长盈精密,深港通,1738,2023-06-24
300114,中航电测,深港通,1738,2023-06-24
300113,顺网科技,深港通,1738,2023-06-24
300565,科信技术,深港通,1738,2023-06-24
300567,精测电子,深港通,1738,2023-06-24
300566,激智科技,深港通,1738,2023-06-24
300183,东软载波,深港通,1738,2023-06-24
300182,捷成股份,深港通,1738,2023-06-24
300185,通裕重工,深港通,1738,2023-06-24
300184,力源信息,深港通,1738,2023-06-24
300569,天能重工,深港通,1738,2023-06-24
300568,星源材质,深港通,1738,2023-06-24
300181,佐力药业,深港通,1738,2023-06-24
300180,华峰超纤,深港通,1738,2023-06-24
1328,登康口腔,深港通,1738,2023-06-24
300951,博硕科技,深港通,1738,2023-06-24
300187,永清环保,深港通,1738,2023-06-24
300188,美亚柏科,深港通,1738,2023-06-24
300189,神农科技,深港通,1738,2023-06-24
300957,贝泰妮,深港通,1738,2023-06-24
1322,箭牌家居,深港通,1738,2023-06-24
1323,慕思股份,深港通,1738,2023-06-24
300953,震裕科技,深港通,1738,2023-06-24
301236,软通动力,深港通,1738,2023-06-24
301238,瑞泰新材,深港通,1738,2023-06-24
300552,万集科技,深港通,1738,2023-06-24
300551,古鳌科技,深港通,1738,2023-06-24
300174,元力股份,深港通,1738,2023-06-24
300171,东富龙,深港通,1738,2023-06-24
301239,普瑞眼科,深港通,1738,2023-06-24
300170,汉得信息,深港通,1738,2023-06-24
300559,佳发教育,深港通,1738,2023-06-24
300558,贝达药业,深港通,1738,2023-06-24
300179,四方达,深港通,1738,2023-06-24
300177,中海达,深港通,1738,2023-06-24
1313,粤海饲料,深港通,1738,2023-06-24
300175,朗源股份,深港通,1738,2023-06-24
1314,亿道信息,深港通,1738,2023-06-24
1311,多利科技,深港通,1738,2023-06-24
300969,恒帅股份,深港通,1738,2023-06-24
301200,大族数控,深港通,1738,2023-06-24
301201,诚达药业,深港通,1738,2023-06-24
300587,天铁股份,深港通,1738,2023-06-24
301205,联特科技,深港通,1738,2023-06-24
300586,美联新材,深港通,1738,2023-06-24
301206,三元生物,深港通,1738,2023-06-24
301207,华兰疫苗,深港通,1738,2023-06-24
300161,华中数控,深港通,1738,2023-06-24
300160,秀强股份,深港通,1738,2023-06-24
300166,东方国信,深港通,1738,2023-06-24
300168,万达信息,深港通,1738,2023-06-24
300973,立高食品,深港通,1738,2023-06-24
300978,东箭科技,深港通,1738,2023-06-24
300979,华利集团,深港通,1738,2023-06-24
300581,晨曦航空,深港通,1738,2023-06-24
300573,兴齐眼药,深港通,1738,2023-06-24
301211,亨迪药业,深港通,1738,2023-06-24
300572,安车检测,深港通,1738,2023-06-24
300571,平治信息,深港通,1738,2023-06-24
300577,开润股份,深港通,1738,2023-06-24
301215,中汽股份,深港通,1738,2023-06-24
300576,容大感光,深港通,1738,2023-06-24
301216,万凯新材,深港通,1738,2023-06-24
300575,中旗股份,深港通,1738,2023-06-24
301217,铜冠铜箔,深港通,1738,2023-06-24
301219,腾远钴业,深港通,1738,2023-06-24
300579,数字认证,深港通,1738,2023-06-24
300152,新动力,深港通,1738,2023-06-24
300151,昌红科技,深港通,1738,2023-06-24
300150,世纪瑞尔,深港通,1738,2023-06-24
1337,四川黄金,深港通,1738,2023-06-24
300155,安居宝,深港通,1738,2023-06-24
300981,中红医疗,深港通,1738,2023-06-24
1338,永顺泰,深港通,1738,2023-06-24
300153,科泰电源,深港通,1738,2023-06-24
300159,ST新研,深港通,1738,2023-06-24
300982,苏文电能,深港通,1738,2023-06-24
1339,智微智能,深港通,1738,2023-06-24
300157,恒泰艾普,深港通,1738,2023-06-24
300158,振东制药,深港通,1738,2023-06-24
1330,博纳影业,深港通,1738,2023-06-24
300986,志特新材,深港通,1738,2023-06-24
300570,太辰光,深港通,1738,2023-06-24
1332,锡装股份,深港通,1738,2023-06-24
2895,川恒股份,深港通,1738,2023-06-24
300999,金龙鱼,深港通,1738,2023-06-24
2891,中宠股份,深港通,1738,2023-06-24
300997,欢乐家,深港通,1738,2023-06-24
300996,普联软件,深港通,1738,2023-06-24
2897,意华股份,深港通,1738,2023-06-24
300990,同飞股份,深港通,1738,2023-06-24
420,吉林化纤,深港通,1738,2023-06-24
429,粤高速Ａ,深港通,1738,2023-06-24
428,华天酒店,深港通,1738,2023-06-24
426,兴业银锡,深港通,1738,2023-06-24
425,徐工机械,深港通,1738,2023-06-24
423,东阿阿胶,深港通,1738,2023-06-24
422,湖北宜化,深港通,1738,2023-06-24
2885,京泉华,深港通,1738,2023-06-24
2882,金龙羽,深港通,1738,2023-06-24
2880,卫光生物,深港通,1738,2023-06-24
2881,美格智能,深港通,1738,2023-06-24
3006,百亚股份,深港通,1738,2023-06-24
3005,竞业达,深港通,1738,2023-06-24
3000,劲仔食品,深港通,1738,2023-06-24
3009,中天火箭,深港通,1738,2023-06-24
300197,节能铁汉,深港通,1738,2023-06-24
300199,翰宇药业,深港通,1738,2023-06-24
300190,维尔利,深港通,1738,2023-06-24
300191,潜能恒信,深港通,1738,2023-06-24
300194,福安药业,深港通,1738,2023-06-24
300196,长海股份,深港通,1738,2023-06-24
3020,立方制药,深港通,1738,2023-06-24
3029,吉大正元,深港通,1738,2023-06-24
3021,兆威机电,深港通,1738,2023-06-24
3022,联泓新科,深港通,1738,2023-06-24
3028,振邦智能,深港通,1738,2023-06-24
3012,东鹏控股,深港通,1738,2023-06-24
3013,地铁设计,深港通,1738,2023-06-24
3040,楚天龙,深港通,1738,2023-06-24
301286,侨源股份,深港通,1738,2023-06-24
402,金融街,深港通,1738,2023-06-24
403,派林生物,深港通,1738,2023-06-24
400,许继电气,深港通,1738,2023-06-24
401,冀东水泥,深港通,1738,2023-06-24
407,胜利股份,深港通,1738,2023-06-24
300505,川金诺,深港通,1738,2023-06-24
300504,天邑股份,深港通,1738,2023-06-24
300503,昊志机电,深港通,1738,2023-06-24
300502,新易盛,深港通,1738,2023-06-24
3043,华亚智能,深港通,1738,2023-06-24
300508,维宏股份,深港通,1738,2023-06-24
300507,苏奥传感,深港通,1738,2023-06-24
300506,名家汇,深港通,1738,2023-06-24
