stockCode,stockName,sector,sectorCount,date
603810,丰山集团,蝗虫防治,16,2023-08-20
2391,长青股份,蝗虫防治,16,2023-08-20
2734,利民股份,蝗虫防治,16,2023-08-20
9,中国宝安,蝗虫防治,16,2023-08-20
300261,雅本化学,蝗虫防治,16,2023-08-20
603639,海利尔,蝗虫防治,16,2023-08-20
2556,辉隆股份,蝗虫防治,16,2023-08-20
2513,蓝丰生化,蝗虫防治,16,2023-08-20
713,丰乐种业,蝗虫防治,16,2023-08-20
2215,诺普信,蝗虫防治,16,2023-08-20
2004,华邦健康,蝗虫防治,16,2023-08-20
600389,江山股份,蝗虫防治,16,2023-08-20
553,安道麦A,蝗虫防治,16,2023-08-20
2942,新农股份,蝗虫防治,16,2023-08-20
603970,中农立华,蝗虫防治,16,2023-08-20
525,ST红太阳,蝗虫防治,16,2023-08-20
