stockCode,stockName,sector,sectorCount,date
603155,新亚强,有机硅,31,2023-08-20
2341,新纶新材,有机硅,31,2023-08-20
605399,晨光新材,有机硅,31,2023-08-20
300727,润禾材料,有机硅,31,2023-08-20
300821,东岳硅材,有机硅,31,2023-08-20
830,鲁西化工,有机硅,31,2023-08-20
300019,硅宝科技,有机硅,31,2023-08-20
600596,新安股份,有机硅,31,2023-08-20
605366,宏柏新材,有机硅,31,2023-08-20
2054,德美化工,有机硅,31,2023-08-20
603281,江瀚新材,有机硅,31,2023-08-20
603938,三孚股份,有机硅,31,2023-08-20
301238,瑞泰新材,有机硅,31,2023-08-20
300497,富祥药业,有机硅,31,2023-08-20
688353,华盛锂电,有机硅,31,2023-08-20
2132,恒星科技,有机硅,31,2023-08-20
600409,三友化工,有机硅,31,2023-08-20
603260,合盛硅业,有机硅,31,2023-08-20
301300,远翔新材,有机硅,31,2023-08-20
2709,天赐材料,有机硅,31,2023-08-20
300041,回天新材,有机硅,31,2023-08-20
300619,金银河,有机硅,31,2023-08-20
2909,集泰股份,有机硅,31,2023-08-20
2666,德联集团,有机硅,31,2023-08-20
600141,兴发集团,有机硅,31,2023-08-20
688602,康鹏科技,有机硅,31,2023-08-20
300328,宜安科技,有机硅,31,2023-08-20
2091,江苏国泰,有机硅,31,2023-08-20
2211,宏达新材,有机硅,31,2023-08-20
300610,晨化股份,有机硅,31,2023-08-20
603041,美思德,有机硅,31,2023-08-20
