stockCode,stockName,sector,sectorCount,date
601866,中远海发,海洋经济,27,2023-08-20
2320,海峡股份,海洋经济,27,2023-08-20
2086,*ST东洋,海洋经济,27,2023-08-20
600097,开创国际,海洋经济,27,2023-08-20
300094,国联水产,海洋经济,27,2023-08-20
300166,东方国信,海洋经济,27,2023-08-20
2483,润邦股份,海洋经济,27,2023-08-20
2696,百洋股份,海洋经济,27,2023-08-20
1205,盛航股份,海洋经济,27,2023-08-20
601808,中海油服,海洋经济,27,2023-08-20
690,宝新能源,海洋经济,27,2023-08-20
39,中集集团,海洋经济,27,2023-08-20
601872,招商轮船,海洋经济,27,2023-08-20
798,中水渔业,海洋经济,27,2023-08-20
600467,好当家,海洋经济,27,2023-08-20
2639,雪人股份,海洋经济,27,2023-08-20
600428,中远海特,海洋经济,27,2023-08-20
300065,海兰信,海洋经济,27,2023-08-20
600026,中远海能,海洋经济,27,2023-08-20
600798,宁波海运,海洋经济,27,2023-08-20
601890,亚星锚链,海洋经济,27,2023-08-20
600185,格力地产,海洋经济,27,2023-08-20
601919,中远海控,海洋经济,27,2023-08-20
600320,振华重工,海洋经济,27,2023-08-20
2069,獐子岛,海洋经济,27,2023-08-20
600522,中天科技,海洋经济,27,2023-08-20
600710,苏美达,海洋经济,27,2023-08-20
