stockCode,stockName,sector,sectorCount,date
2443,金洲管道,地下管网,31,2023-05-31
300075,数字政通,地下管网,31,2023-05-31
600969,郴电国际,地下管网,31,2023-05-31
2205,国统股份,地下管网,31,2023-05-31
2671,龙泉股份,地下管网,31,2023-05-31
600480,凌云股份,地下管网,31,2023-05-31
601686,友发集团,地下管网,31,2023-05-31
300434,金石亚药,地下管网,31,2023-05-31
301027,华蓝集团,地下管网,31,2023-05-31
603616,韩建河山,地下管网,31,2023-05-31
2694,顾地科技,地下管网,31,2023-05-31
2554,惠博普,地下管网,31,2023-05-31
300599,雄塑科技,地下管网,31,2023-05-31
2108,沧州明珠,地下管网,31,2023-05-31
2062,宏润建设,地下管网,31,2023-05-31
2457,青龙管业,地下管网,31,2023-05-31
603815,交建股份,地下管网,31,2023-05-31
300007,汉威科技,地下管网,31,2023-05-31
300198,纳川股份,地下管网,31,2023-05-31
778,新兴铸管,地下管网,31,2023-05-31
708,中信特钢,地下管网,31,2023-05-31
600008,首创环保,地下管网,31,2023-05-31
600444,国机通用,地下管网,31,2023-05-31
603856,东宏股份,地下管网,31,2023-05-31
833943,优机股份,地下管网,31,2023-05-31
301136,招标股份,地下管网,31,2023-05-31
301038,深水规院,地下管网,31,2023-05-31
3013,地铁设计,地下管网,31,2023-05-31
2372,伟星新材,地下管网,31,2023-05-31
3037,三和管桩,地下管网,31,2023-05-31
688509,正元地信,地下管网,31,2023-05-31
