stockCode,stockName,sector,sectorCount,date
204001,GC001,国债逆回购,18,2023-05-31
204091,GC091,国债逆回购,18,2023-05-31
131801,R-007,国债逆回购,18,2023-05-31
131810,R-001,国债逆回购,18,2023-05-31
131802,R-014,国债逆回购,18,2023-05-31
131811,R-002,国债逆回购,18,2023-05-31
131800,R-003,国债逆回购,18,2023-05-31
204182,GC182,国债逆回购,18,2023-05-31
131803,R-028,国债逆回购,18,2023-05-31
131806,R-182,国债逆回购,18,2023-05-31
131805,R-091,国债逆回购,18,2023-05-31
131809,R-004,国债逆回购,18,2023-05-31
204007,GC007,国债逆回购,18,2023-05-31
204003,GC003,国债逆回购,18,2023-05-31
204028,GC028,国债逆回购,18,2023-05-31
204002,GC002,国债逆回购,18,2023-05-31
204014,GC014,国债逆回购,18,2023-05-31
204004,GC004,国债逆回购,18,2023-05-31
