stockCode,stockName,sector,sectorCount,date
300590,移为通信,通信,129,2023-05-31
601728,中国电信,通信,129,2023-05-31
851,高鸿股份,通信,129,2023-05-31
301165,锐捷网络,通信,129,2023-05-31
600487,亨通光电,通信,129,2023-05-31
2792,通宇通讯,通信,129,2023-05-31
838924,广脉科技,通信,129,2023-05-31
2467,二六三,通信,129,2023-05-31
2897,意华股份,通信,129,2023-05-31
601869,长飞光纤,通信,129,2023-05-31
2796,世嘉科技,通信,129,2023-05-31
2123,梦网科技,通信,129,2023-05-31
600289,ST信通,通信,129,2023-05-31
300913,兆龙互连,通信,129,2023-05-31
300597,吉大通信,通信,129,2023-05-31
688027,国盾量子,通信,129,2023-05-31
2929,润建股份,通信,129,2023-05-31
300710,万隆光电,通信,129,2023-05-31
300513,恒实科技,通信,129,2023-05-31
600498,烽火通信,通信,129,2023-05-31
300711,广哈通信,通信,129,2023-05-31
600734,ST实达,通信,129,2023-05-31
832149,利尔达,通信,129,2023-05-31
839,ST国安,通信,129,2023-05-31
2583,海能达,通信,129,2023-05-31
600462,ST九有,通信,129,2023-05-31
300921,南凌科技,通信,129,2023-05-31
603220,中贝通信,通信,129,2023-05-31
300134,大富科技,通信,129,2023-05-31
600522,中天科技,通信,129,2023-05-31
586,汇源通信,通信,129,2023-05-31
688668,鼎通科技,通信,129,2023-05-31
600355,精伦电子,通信,129,2023-05-31
835640,富士达,通信,129,2023-05-31
300548,博创科技,通信,129,2023-05-31
688292,浩瀚深度,通信,129,2023-05-31
603322,超讯通信,通信,129,2023-05-31
2148,北纬科技,通信,129,2023-05-31
836,富通信息,通信,129,2023-05-31
600941,中国移动,通信,129,2023-05-31
603083,剑桥科技,通信,129,2023-05-31
971,ST高升,通信,129,2023-05-31
300053,欧比特,通信,129,2023-05-31
300050,世纪鼎利,通信,129,2023-05-31
301314,科瑞思,通信,129,2023-05-31
300310,宜通世纪,通信,129,2023-05-31
301382,蜂助手,通信,129,2023-05-31
301380,挖金客,通信,129,2023-05-31
600345,长江通信,通信,129,2023-05-31
688283,坤恒顺维,通信,129,2023-05-31
603206,嘉环科技,通信,129,2023-05-31
688205,德科立,通信,129,2023-05-31
688182,灿勤科技,通信,129,2023-05-31
300638,广和通,通信,129,2023-05-31
872374,云里物里,通信,129,2023-05-31
301191,菲菱科思,通信,129,2023-05-31
900941,东信Ｂ股,通信,129,2023-05-31
301307,美利信,通信,129,2023-05-31
300394,天孚通信,通信,129,2023-05-31
688100,威胜信息,通信,129,2023-05-31
300565,科信技术,通信,129,2023-05-31
301428,世纪恒通,通信,129,2023-05-31
300560,中富通,通信,129,2023-05-31
300563,神宇股份,通信,129,2023-05-31
300183,东软载波,通信,129,2023-05-31
688387,信科移动,通信,129,2023-05-31
688618,三旺通信,通信,129,2023-05-31
600105,永鼎股份,通信,129,2023-05-31
603118,共进股份,通信,129,2023-05-31
300628,亿联网络,通信,129,2023-05-31
300627,华测导航,通信,129,2023-05-31
300959,线上线下,通信,129,2023-05-31
688080,映翰通,通信,129,2023-05-31
300620,光库科技,通信,129,2023-05-31
300555,ST路通,通信,129,2023-05-31
300205,天喻信息,通信,129,2023-05-31
300081,恒信东方,通信,129,2023-05-31
600776,东方通信,通信,129,2023-05-31
300698,万马科技,通信,129,2023-05-31
600775,南京熊猫,通信,129,2023-05-31
300615,欣天科技,通信,129,2023-05-31
889,ST中嘉,通信,129,2023-05-31
301139,元道通信,通信,129,2023-05-31
300308,中际旭创,通信,129,2023-05-31
688418,震有科技,通信,129,2023-05-31
2544,普天科技,通信,129,2023-05-31
688313,仕佳光子,通信,129,2023-05-31
3040,楚天龙,通信,129,2023-05-31
603421,鼎信通讯,通信,129,2023-05-31
2902,铭普光磁,通信,129,2023-05-31
603803,瑞斯康达,通信,129,2023-05-31
300689,澄天伟业,通信,129,2023-05-31
301205,联特科技,通信,129,2023-05-31
2089,*ST新海,通信,129,2023-05-31
300211,亿通科技,通信,129,2023-05-31
300213,佳讯飞鸿,通信,129,2023-05-31
63,中兴通讯,通信,129,2023-05-31
2104,恒宝股份,通信,129,2023-05-31
600198,大唐电信,通信,129,2023-05-31
300603,立昂技术,通信,129,2023-05-31
2281,光迅科技,通信,129,2023-05-31
2017,东信和平,通信,129,2023-05-31
600050,中国联通,通信,129,2023-05-31
300504,天邑股份,通信,129,2023-05-31
300414,中光防雷,通信,129,2023-05-31
688159,有方科技,通信,129,2023-05-31
300502,新易盛,通信,129,2023-05-31
603236,移远通信,通信,129,2023-05-31
600804,ST鹏博士,通信,129,2023-05-31
300025,华星创业,通信,129,2023-05-31
3031,中瓷电子,通信,129,2023-05-31
301419,阿莱德,通信,129,2023-05-31
300292,吴通控股,通信,129,2023-05-31
300571,平治信息,通信,129,2023-05-31
688143,长盈通,通信,129,2023-05-31
300578,会畅通讯,通信,129,2023-05-31
2313,*ST日海,通信,129,2023-05-31
300353,东土科技,通信,129,2023-05-31
2296,辉煌科技,通信,129,2023-05-31
603559,ST通脉,通信,129,2023-05-31
70,特发信息,通信,129,2023-05-31
2491,通鼎互联,通信,129,2023-05-31
2115,三维通信,通信,129,2023-05-31
2093,国脉科技,通信,129,2023-05-31
2194,武汉凡谷,通信,129,2023-05-31
300570,太辰光,通信,129,2023-05-31
603602,纵横通信,通信,129,2023-05-31
603042,华脉科技,通信,129,2023-05-31
2396,星网锐捷,通信,129,2023-05-31
