stockCode,stockName,sector,sectorCount,date
688038,中科通达,计算机,351,2023-05-31
300663,科蓝软件,计算机,351,2023-05-31
688039,当虹科技,计算机,351,2023-05-31
2322,理工能科,计算机,351,2023-05-31
300525,博思软件,计算机,351,2023-05-31
300520,科大国创,计算机,351,2023-05-31
301269,华大九天,计算机,351,2023-05-31
300523,辰安科技,计算机,351,2023-05-31
688171,纬德信息,计算机,351,2023-05-31
601360,三六零,计算机,351,2023-05-31
830799,艾融软件,计算机,351,2023-05-31
300245,天玑科技,计算机,351,2023-05-31
300248,新开普,计算机,351,2023-05-31
688343,云天励飞,计算机,351,2023-05-31
2920,德赛西威,计算机,351,2023-05-31
300249,依米康,计算机,351,2023-05-31
688030,山石网科,计算机,351,2023-05-31
688031,星环科技,计算机,351,2023-05-31
300130,新国都,计算机,351,2023-05-31
2063,远光软件,计算机,351,2023-05-31
2331,皖通科技,计算机,351,2023-05-31
301378,通达海,计算机,351,2023-05-31
300659,中孚信息,计算机,351,2023-05-31
300790,宇瞳光学,计算机,351,2023-05-31
2474,榕基软件,计算机,351,2023-05-31
688555,*ST泽达,计算机,351,2023-05-31
300925,法本信息,计算机,351,2023-05-31
2835,同为股份,计算机,351,2023-05-31
300231,银信科技,计算机,351,2023-05-31
300235,方直科技,计算机,351,2023-05-31
688168,安博通,计算机,351,2023-05-31
301270,汉仪股份,计算机,351,2023-05-31
688023,安恒信息,计算机,351,2023-05-31
2065,东华软件,计算机,351,2023-05-31
300799,*ST左江,计算机,351,2023-05-31
688296,和达科技,计算机,351,2023-05-31
300546,雄帝科技,计算机,351,2023-05-31
872190,雷神科技,计算机,351,2023-05-31
688291,金橙子,计算机,351,2023-05-31
300541,先进数通,计算机,351,2023-05-31
300542,新晨科技,计算机,351,2023-05-31
300645,正元智慧,计算机,351,2023-05-31
301248,杰创智能,计算机,351,2023-05-31
430564,天润科技,计算机,351,2023-05-31
300264,佳创视讯,计算机,351,2023-05-31
688327,云从科技,计算机,351,2023-05-31
300935,盈建科,计算机,351,2023-05-31
688326,经纬恒润,计算机,351,2023-05-31
603990,麦迪科技,计算机,351,2023-05-31
838227,美登科技,计算机,351,2023-05-31
688004,博汇科技,计算机,351,2023-05-31
301396,宏景科技,计算机,351,2023-05-31
300399,天利科技,计算机,351,2023-05-31
300250,初灵信息,计算机,351,2023-05-31
603508,思维列控,计算机,351,2023-05-31
603106,恒银科技,计算机,351,2023-05-31
688188,柏楚电子,计算机,351,2023-05-31
300531,优博讯,计算机,351,2023-05-31
300634,彩讯股份,计算机,351,2023-05-31
430198,微创光电,计算机,351,2023-05-31
300532,今天国际,计算机,351,2023-05-31
834415,恒拓开源,计算机,351,2023-05-31
2609,捷顺科技,计算机,351,2023-05-31
300253,卫宁健康,计算机,351,2023-05-31
688479,友车科技,计算机,351,2023-05-31
301117,佳缘科技,计算机,351,2023-05-31
300941,创识科技,计算机,351,2023-05-31
688475,萤石网络,计算机,351,2023-05-31
688288,鸿泉物联,计算机,351,2023-05-31
301391,卡莱特,计算机,351,2023-05-31
2421,达实智能,计算机,351,2023-05-31
688588,凌志软件,计算机,351,2023-05-31
300561,汇金科技,计算机,351,2023-05-31
900901,云赛Ｂ股,计算机,351,2023-05-31
600767,退市运盛,计算机,351,2023-05-31
600100,同方股份,计算机,351,2023-05-31
300075,数字政通,计算机,351,2023-05-31
300074,华平股份,计算机,351,2023-05-31
300386,飞天诚信,计算机,351,2023-05-31
300380,安硕信息,计算机,351,2023-05-31
300078,思创医惠,计算机,351,2023-05-31
300079,数码视讯,计算机,351,2023-05-31
300383,光环新网,计算机,351,2023-05-31
300766,每日互动,计算机,351,2023-05-31
688307,中润光学,计算机,351,2023-05-31
688078,龙软科技,计算机,351,2023-05-31
300188,美亚柏科,计算机,351,2023-05-31
300768,迪普科技,计算机,351,2023-05-31
603611,诺力股份,计算机,351,2023-05-31
300287,飞利信,计算机,351,2023-05-31
300288,朗玛信息,计算机,351,2023-05-31
603383,顶点软件,计算机,351,2023-05-31
1229,魅视科技,计算机,351,2023-05-31
997,新大陆,计算机,351,2023-05-31
300556,丝路视觉,计算机,351,2023-05-31
301339,通行宝,计算机,351,2023-05-31
301236,软通动力,计算机,351,2023-05-31
835207,众诚科技,计算机,351,2023-05-31
300479,神思电子,计算机,351,2023-05-31
300552,万集科技,计算机,351,2023-05-31
300551,古鳌科技,计算机,351,2023-05-31
603881,数据港,计算机,351,2023-05-31
300271,华宇软件,计算机,351,2023-05-31
300550,和仁科技,计算机,351,2023-05-31
300270,中威电子,计算机,351,2023-05-31
301330,熵基科技,计算机,351,2023-05-31
300379,东方通,计算机,351,2023-05-31
300378,鼎捷软件,计算机,351,2023-05-31
2439,启明星辰,计算机,351,2023-05-31
300377,赢时胜,计算机,351,2023-05-31
300170,汉得信息,计算机,351,2023-05-31
300085,银之杰,计算机,351,2023-05-31
300559,佳发教育,计算机,351,2023-05-31
301337,亚华电子,计算机,351,2023-05-31
688060,云涌科技,计算机,351,2023-05-31
688318,财富趋势,计算机,351,2023-05-31
688066,航天宏图,计算机,351,2023-05-31
300691,联合光电,计算机,351,2023-05-31
300895,铜牛信息,计算机,351,2023-05-31
603887,城地香江,计算机,351,2023-05-31
2236,大华股份,计算机,351,2023-05-31
300277,海联讯,计算机,351,2023-05-31
688316,青云科技,计算机,351,2023-05-31
300275,梅安森,计算机,351,2023-05-31
2232,启明信息,计算机,351,2023-05-31
688590,新致软件,计算机,351,2023-05-31
2970,锐明技术,计算机,351,2023-05-31
2230,科大讯飞,计算机,351,2023-05-31
900926,宝信Ｂ,计算机,351,2023-05-31
2308,威创股份,计算机,351,2023-05-31
835305,云创数据,计算机,351,2023-05-31
688152,麒麟信安,计算机,351,2023-05-31
688568,中科星图,计算机,351,2023-05-31
2401,中远海科,计算机,351,2023-05-31
300588,熙菱信息,计算机,351,2023-05-31
688251,井松智能,计算机,351,2023-05-31
301208,中亦科技,计算机,351,2023-05-31
2405,四维图新,计算机,351,2023-05-31
300365,恒华科技,计算机,351,2023-05-31
300096,易联众,计算机,351,2023-05-31
300687,赛意信息,计算机,351,2023-05-31
300682,朗新科技,计算机,351,2023-05-31
688058,宝兰德,计算机,351,2023-05-31
300366,创意信息,计算机,351,2023-05-31
300369,绿盟科技,计算机,351,2023-05-31
300368,汇金股份,计算机,351,2023-05-31
300789,唐源电气,计算机,351,2023-05-31
300884,狄耐克,计算机,351,2023-05-31
300166,东方国信,计算机,351,2023-05-31
300167,ST迪威迅,计算机,351,2023-05-31
300168,万达信息,计算机,351,2023-05-31
300098,高新兴,计算机,351,2023-05-31
688258,卓易信息,计算机,351,2023-05-31
688051,佳华科技,计算机,351,2023-05-31
2987,京北方,计算机,351,2023-05-31
66,中国长城,计算机,351,2023-05-31
688158,优刻得,计算机,351,2023-05-31
600225,卓朗科技,计算机,351,2023-05-31
688561,奇安信,计算机,351,2023-05-31
688562,航天软件,计算机,351,2023-05-31
606,*ST顺利,计算机,351,2023-05-31
688579,山大地纬,计算机,351,2023-05-31
600271,航天信息,计算机,351,2023-05-31
300290,荣科科技,计算机,351,2023-05-31
300496,中科创达,计算机,351,2023-05-31
2410,广联达,计算机,351,2023-05-31
300678,中科信息,计算机,351,2023-05-31
301218,华是科技,计算机,351,2023-05-31
2415,海康威视,计算机,351,2023-05-31
600797,浙大网新,计算机,351,2023-05-31
300352,北信源,计算机,351,2023-05-31
600602,云赛智联,计算机,351,2023-05-31
301153,中科江南,计算机,351,2023-05-31
300579,数字认证,计算机,351,2023-05-31
300674,宇信科技,计算机,351,2023-05-31
300150,世纪瑞尔,计算机,351,2023-05-31
2417,*ST深南,计算机,351,2023-05-31
688435,英方软件,计算机,351,2023-05-31
301159,三维天地,计算机,351,2023-05-31
300155,安居宝,计算机,351,2023-05-31
300872,天阳科技,计算机,351,2023-05-31
603496,恒为科技,计算机,351,2023-05-31
688246,嘉和美康,计算机,351,2023-05-31
1339,智微智能,计算机,351,2023-05-31
688244,永信至诚,计算机,351,2023-05-31
300771,智莱科技,计算机,351,2023-05-31
605118,力鼎光电,计算机,351,2023-05-31
2990,盛视科技,计算机,351,2023-05-31
2212,天融信,计算机,351,2023-05-31
300297,*ST蓝盾,计算机,351,2023-05-31
2268,电科网安,计算机,351,2023-05-31
839680,广道数字,计算机,351,2023-05-31
600476,湘邮科技,计算机,351,2023-05-31
300996,普联软件,计算机,351,2023-05-31
603019,中科曙光,计算机,351,2023-05-31
300033,同花顺,计算机,351,2023-05-31
839790,联迪信息,计算机,351,2023-05-31
603869,新智认知,计算机,351,2023-05-31
300036,超图软件,计算机,351,2023-05-31
2512,达华智能,计算机,351,2023-05-31
688232,新点软件,计算机,351,2023-05-31
301162,国能日新,计算机,351,2023-05-31
300333,兆日科技,计算机,351,2023-05-31
2261,拓维信息,计算机,351,2023-05-31
600536,中国软件,计算机,351,2023-05-31
300339,润和软件,计算机,351,2023-05-31
948,南天信息,计算机,351,2023-05-31
600131,国网信通,计算机,351,2023-05-31
300598,诚迈科技,计算机,351,2023-05-31
600728,佳都科技,计算机,351,2023-05-31
1309,德明利,计算机,351,2023-05-31
638,万方发展,计算机,351,2023-05-31
2279,久其软件,计算机,351,2023-05-31
301178,天亿马,计算机,351,2023-05-31
300044,赛为智能,计算机,351,2023-05-31
872808,曙光数创,计算机,351,2023-05-31
688225,亚信安全,计算机,351,2023-05-31
603636,南威软件,计算机,351,2023-05-31
688227,品高股份,计算机,351,2023-05-31
603859,能科科技,计算机,351,2023-05-31
300047,天源迪科,计算机,351,2023-05-31
688228,开普云,计算机,351,2023-05-31
688229,博睿数据,计算机,351,2023-05-31
300449,汉邦高科,计算机,351,2023-05-31
300344,立方数科,计算机,351,2023-05-31
300042,朗科科技,计算机,351,2023-05-31
300448,浩云科技,计算机,351,2023-05-31
300348,长亮科技,计算机,351,2023-05-31
938,紫光股份,计算机,351,2023-05-31
300440,运达科技,计算机,351,2023-05-31
601519,大智慧,计算机,351,2023-05-31
688118,普元信息,计算机,351,2023-05-31
603528,多伦科技,计算机,351,2023-05-31
300743,天地数码,计算机,351,2023-05-31
300846,首都在线,计算机,351,2023-05-31
2777,久远银海,计算机,351,2023-05-31
977,浪潮信息,计算机,351,2023-05-31
300845,捷安高科,计算机,351,2023-05-31
603171,税友股份,计算机,351,2023-05-31
600455,博通股份,计算机,351,2023-05-31
2771,真视通,计算机,351,2023-05-31
3004,声迅股份,计算机,351,2023-05-31
300311,任子行,计算机,351,2023-05-31
2577,雷柏科技,计算机,351,2023-05-31
301185,鸥玛软件,计算机,351,2023-05-31
3005,竞业达,计算机,351,2023-05-31
603660,苏州科达,计算机,351,2023-05-31
600654,*ST中安,计算机,351,2023-05-31
301318,维海德,计算机,351,2023-05-31
300451,创业慧康,计算机,351,2023-05-31
600845,宝信软件,计算机,351,2023-05-31
301316,慧博云通,计算机,351,2023-05-31
688111,金山办公,计算机,351,2023-05-31
300454,深信服,计算机,351,2023-05-31
3007,直真科技,计算机,351,2023-05-31
300455,航天智装,计算机,351,2023-05-31
301042,安联锐视,计算机,351,2023-05-31
2253,川大智胜,计算机,351,2023-05-31
688208,道通科技,计算机,351,2023-05-31
300730,科创信息,计算机,351,2023-05-31
603516,淳中科技,计算机,351,2023-05-31
603189,网达软件,计算机,351,2023-05-31
688109,品茗科技,计算机,351,2023-05-31
688206,概伦电子,计算机,351,2023-05-31
688207,格灵深瞳,计算机,351,2023-05-31
600446,金证股份,计算机,351,2023-05-31
300830,金现代,计算机,351,2023-05-31
2153,石基信息,计算机,351,2023-05-31
300738,奥飞数据,计算机,351,2023-05-31
688201,信安世纪,计算机,351,2023-05-31
2152,广电运通,计算机,351,2023-05-31
34,神州数码,计算机,351,2023-05-31
603003,龙宇股份,计算机,351,2023-05-31
300324,旋极信息,计算机,351,2023-05-31
301195,北路智控,计算机,351,2023-05-31
300469,信息发展,计算机,351,2023-05-31
600756,浪潮软件,计算机,351,2023-05-31
555,神州信息,计算机,351,2023-05-31
600855,航天长峰,计算机,351,2023-05-31
300462,华铭智能,计算机,351,2023-05-31
300468,四方精创,计算机,351,2023-05-31
300465,高伟达,计算机,351,2023-05-31
600850,电科数字,计算机,351,2023-05-31
688489,三未信安,计算机,351,2023-05-31
603927,中科软,计算机,351,2023-05-31
600570,恒生电子,计算机,351,2023-05-31
600571,信雅达,计算机,351,2023-05-31
835184,国源科技,计算机,351,2023-05-31
4,ST国华,计算机,351,2023-05-31
3029,吉大正元,计算机,351,2023-05-31
688083,中望软件,计算机,351,2023-05-31
300624,万兴科技,计算机,351,2023-05-31
688619,罗普特,计算机,351,2023-05-31
688086,*ST紫晶,计算机,351,2023-05-31
688088,虹软科技,计算机,351,2023-05-31
2362,汉王科技,计算机,351,2023-05-31
2368,太极股份,计算机,351,2023-05-31
2657,中科金财,计算机,351,2023-05-31
300209,ST有棵树,计算机,351,2023-05-31
2177,*ST御银,计算机,351,2023-05-31
603918,金桥信息,计算机,351,2023-05-31
2178,延华智能,计算机,351,2023-05-31
300609,汇纳科技,计算机,351,2023-05-31
688095,福昕软件,计算机,351,2023-05-31
2642,荣联科技,计算机,351,2023-05-31
300807,天迈科技,计算机,351,2023-05-31
688500,*ST慧辰,计算机,351,2023-05-31
2373,千方科技,计算机,351,2023-05-31
158,常山北明,计算机,351,2023-05-31
688787,海天瑞声,计算机,351,2023-05-31
688507,索辰科技,计算机,351,2023-05-31
2649,博彦科技,计算机,351,2023-05-31
688509,正元地信,计算机,351,2023-05-31
2376,新北洋,计算机,351,2023-05-31
300302,同有科技,计算机,351,2023-05-31
300300,海峡创新,计算机,351,2023-05-31
603232,格尔软件,计算机,351,2023-05-31
300017,网宿科技,计算机,351,2023-05-31
2380,科远智慧,计算机,351,2023-05-31
603039,泛微网络,计算机,351,2023-05-31
600410,华胜天成,计算机,351,2023-05-31
688365,光云科技,计算机,351,2023-05-31
430090,同辉信息,计算机,351,2023-05-31
300803,指南针,计算机,351,2023-05-31
688369,致远互联,计算机,351,2023-05-31
300212,易华录,计算机,351,2023-05-31
605398,新炬网络,计算机,351,2023-05-31
603138,海量数据,计算机,351,2023-05-31
300608,思特奇,计算机,351,2023-05-31
300605,恒锋信息,计算机,351,2023-05-31
301085,亚康股份,计算机,351,2023-05-31
832171,志晟信息,计算机,351,2023-05-31
2530,金财互联,计算机,351,2023-05-31
503,国新健康,计算机,351,2023-05-31
2180,纳思达,计算机,351,2023-05-31
300419,浩丰科技,计算机,351,2023-05-31
300508,维宏股份,计算机,351,2023-05-31
300229,拓尔思,计算机,351,2023-05-31
2912,中新赛克,计算机,351,2023-05-31
2197,证通电子,计算机,351,2023-05-31
409,云鼎科技,计算机,351,2023-05-31
2298,中电兴发,计算机,351,2023-05-31
300226,上海钢联,计算机,351,2023-05-31
