stockCode,stockName,sector,sectorCount,date
2074,国轩高科,充电桩,173,2023-05-09
300141,和顺电气,充电桩,173,2023-05-09
2121,科陆电子,充电桩,173,2023-05-09
601727,上海电气,充电桩,173,2023-05-09
421,南京公用,充电桩,173,2023-05-09
600869,远东股份,充电桩,173,2023-05-09
300916,朗特智能,充电桩,173,2023-05-09
2514,宝馨科技,充电桩,173,2023-05-09
2594,比亚迪,充电桩,173,2023-05-09
603012,创力集团,充电桩,173,2023-05-09
2518,科士达,充电桩,173,2023-05-09
300438,鹏辉能源,充电桩,173,2023-05-09
603015,弘讯科技,充电桩,173,2023-05-09
2519,银河电子,充电桩,173,2023-05-09
600330,天通股份,充电桩,173,2023-05-09
2063,远光软件,充电桩,173,2023-05-09
2885,京泉华,充电桩,173,2023-05-09
2882,金龙羽,充电桩,173,2023-05-09
2927,泰永长征,充电桩,173,2023-05-09
2334,英威腾,充电桩,173,2023-05-09
2276,万马股份,充电桩,173,2023-05-09
603097,江苏华辰,充电桩,173,2023-05-09
300514,友讯达,充电桩,173,2023-05-09
2339,积成电子,充电桩,173,2023-05-09
2130,沃尔核材,充电桩,173,2023-05-09
2782,可立克,充电桩,173,2023-05-09
300510,金冠股份,充电桩,173,2023-05-09
600297,广汇汽车,充电桩,173,2023-05-09
300712,永福股份,充电桩,173,2023-05-09
603859,能科科技,充电桩,173,2023-05-09
2471,中超控股,充电桩,173,2023-05-09
300713,英可瑞,充电桩,173,2023-05-09
2837,英维克,充电桩,173,2023-05-09
600733,北汽蓝谷,充电桩,173,2023-05-09
1258,立新能源,充电桩,173,2023-05-09
300040,九洲集团,充电桩,173,2023-05-09
300444,双杰电气,充电桩,173,2023-05-09
600522,中天科技,充电桩,173,2023-05-09
572,海马汽车,充电桩,173,2023-05-09
2682,龙洲股份,充电桩,173,2023-05-09
27,深圳能源,充电桩,173,2023-05-09
300644,南京聚隆,充电桩,173,2023-05-09
2346,柘中股份,充电桩,173,2023-05-09
603322,超讯通信,充电桩,173,2023-05-09
603989,艾华集团,充电桩,173,2023-05-09
600098,广州发展,充电桩,173,2023-05-09
300843,胜蓝股份,充电桩,173,2023-05-09
2249,大洋电机,充电桩,173,2023-05-09
601512,中新集团,充电桩,173,2023-05-09
2441,众业达,充电桩,173,2023-05-09
603843,正平股份,充电桩,173,2023-05-09
603666,亿嘉和,充电桩,173,2023-05-09
300648,星云股份,充电桩,173,2023-05-09
301182,凯旺科技,充电桩,173,2023-05-09
828,东莞控股,充电桩,173,2023-05-09
300120,经纬辉开,充电桩,173,2023-05-09
300836,佰奥智能,充电桩,173,2023-05-09
2357,富临运业,充电桩,173,2023-05-09
688208,道通科技,充电桩,173,2023-05-09
2255,海陆重工,充电桩,173,2023-05-09
2768,国恩股份,充电桩,173,2023-05-09
2350,北京科锐,充电桩,173,2023-05-09
600089,特变电工,充电桩,173,2023-05-09
2451,摩恩电气,充电桩,173,2023-05-09
603105,芯能科技,充电桩,173,2023-05-09
2452,长高电新,充电桩,173,2023-05-09
300530,达志科技,充电桩,173,2023-05-09
300939,秋田微,充电桩,173,2023-05-09
300830,金现代,充电桩,173,2023-05-09
1896,豫能控股,充电桩,173,2023-05-09
2358,森源电气,充电桩,173,2023-05-09
300062,中能电气,充电桩,173,2023-05-09
2609,捷顺科技,充电桩,173,2023-05-09
605358,立昂微,充电桩,173,2023-05-09
603458,勘设股份,充电桩,173,2023-05-09
601677,明泰铝业,充电桩,173,2023-05-09
688100,威胜信息,充电桩,173,2023-05-09
603390,通达电气,充电桩,173,2023-05-09
2953,日丰股份,充电桩,173,2023-05-09
300820,英杰电气,充电桩,173,2023-05-09
2168,惠程科技,充电桩,173,2023-05-09
9,中国宝安,充电桩,173,2023-05-09
600386,北巴传媒,充电桩,173,2023-05-09
600969,郴电国际,充电桩,173,2023-05-09
909,ST数源,充电桩,173,2023-05-09
300623,捷捷微电,充电桩,173,2023-05-09
903,云内动力,充电桩,173,2023-05-09
2227,奥特迅,充电桩,173,2023-05-09
688616,西力科技,充电桩,173,2023-05-09
603050,科林电气,充电桩,173,2023-05-09
899,赣能股份,充电桩,173,2023-05-09
2364,中恒电气,充电桩,173,2023-05-09
300286,安科瑞,充电桩,173,2023-05-09
688517,金冠电气,充电桩,173,2023-05-09
603679,华体科技,充电桩,173,2023-05-09
300001,特锐德,充电桩,173,2023-05-09
688597,煜邦电力,充电桩,173,2023-05-09
300477,合纵科技,充电桩,173,2023-05-09
688261,东微半导,充电桩,173,2023-05-09
300811,铂科新材,充电桩,173,2023-05-09
300693,盛弘股份,充电桩,173,2023-05-09
300376,易事特,充电桩,173,2023-05-09
600979,广安爱众,充电桩,173,2023-05-09
300373,扬杰科技,充电桩,173,2023-05-09
2026,山东威达,充电桩,173,2023-05-09
2547,春兴精工,充电桩,173,2023-05-09
300807,天迈科技,充电桩,173,2023-05-09
300960,通业科技,充电桩,173,2023-05-09
887,中鼎股份,充电桩,173,2023-05-09
600834,申通地铁,充电桩,173,2023-05-09
2870,香山股份,充电桩,173,2023-05-09
300617,安靠智电,充电桩,173,2023-05-09
688390,固德威,充电桩,173,2023-05-09
600163,中闽能源,充电桩,173,2023-05-09
2236,大华股份,充电桩,173,2023-05-09
603195,公牛集团,充电桩,173,2023-05-09
300274,阳光电源,充电桩,173,2023-05-09
881,中广核技,充电桩,173,2023-05-09
2028,思源电气,充电桩,173,2023-05-09
601616,广电电气,充电桩,173,2023-05-09
600212,绿能慧充,充电桩,173,2023-05-09
300403,汉宇集团,充电桩,173,2023-05-09
603421,鼎信通讯,充电桩,173,2023-05-09
300582,英飞特,充电桩,173,2023-05-09
2902,铭普光磁,充电桩,173,2023-05-09
300014,亿纬锂能,充电桩,173,2023-05-09
601107,四川成渝,充电桩,173,2023-05-09
682,东方电子,充电桩,173,2023-05-09
2300,太阳电缆,充电桩,173,2023-05-09
600360,华微电子,充电桩,173,2023-05-09
600312,平高电气,充电桩,173,2023-05-09
2706,良信股份,充电桩,173,2023-05-09
605222,起帆电缆,充电桩,173,2023-05-09
300682,朗新科技,充电桩,173,2023-05-09
300160,秀强股份,充电桩,173,2023-05-09
400,许继电气,充电桩,173,2023-05-09
63,中兴通讯,充电桩,173,2023-05-09
600192,长城电工,充电桩,173,2023-05-09
300880,迦南智能,充电桩,173,2023-05-09
875,吉电股份,充电桩,173,2023-05-09
300360,炬华科技,充电桩,173,2023-05-09
300882,万胜智能,充电桩,173,2023-05-09
66,中国长城,充电桩,173,2023-05-09
600699,均胜电子,充电桩,173,2023-05-09
300414,中光防雷,充电桩,173,2023-05-09
688159,有方科技,充电桩,173,2023-05-09
601,韶能股份,充电桩,173,2023-05-09
2533,金杯电工,充电桩,173,2023-05-09
600268,国电南自,充电桩,173,2023-05-09
601567,三星医疗,充电桩,173,2023-05-09
600995,南网储能,充电桩,173,2023-05-09
600405,动力源,充电桩,173,2023-05-09
300499,高澜股份,充电桩,173,2023-05-09
605111,新洁能,充电桩,173,2023-05-09
600894,广日股份,充电桩,173,2023-05-09
2197,证通电子,充电桩,173,2023-05-09
2911,佛燃能源,充电桩,173,2023-05-09
603556,海兴电力,充电桩,173,2023-05-09
300222,科大智能,充电桩,173,2023-05-09
2298,中电兴发,充电桩,173,2023-05-09
300351,永贵电器,充电桩,173,2023-05-09
600406,国电南瑞,充电桩,173,2023-05-09
300670,大烨智能,充电桩,173,2023-05-09
2660,茂硕电源,充电桩,173,2023-05-09
300420,五洋停车,充电桩,173,2023-05-09
300870,欧陆通,充电桩,173,2023-05-09
2498,汉缆股份,充电桩,173,2023-05-09
2851,麦格米特,充电桩,173,2023-05-09
861,海印股份,充电桩,173,2023-05-09
300490,华自科技,充电桩,173,2023-05-09
300491,通合科技,充电桩,173,2023-05-09
600277,亿利洁能,充电桩,173,2023-05-09
2090,金智科技,充电桩,173,2023-05-09
