stockCode,stockName,sector,sectorCount,date
2129,TCL中环,蓝宝石,21,2023-05-09
2189,中光学,蓝宝石,21,2023-05-09
2273,水晶光电,蓝宝石,21,2023-05-09
688556,高测股份,蓝宝石,21,2023-05-09
2617,露笑科技,蓝宝石,21,2023-05-09
603595,东尼电子,蓝宝石,21,2023-05-09
600468,百利电气,蓝宝石,21,2023-05-09
300861,美畅股份,蓝宝石,21,2023-05-09
600703,三安光电,蓝宝石,21,2023-05-09
413,东旭光电,蓝宝石,21,2023-05-09
300323,华灿光电,蓝宝石,21,2023-05-09
300623,捷捷微电,蓝宝石,21,2023-05-09
600666,*ST瑞德,蓝宝石,21,2023-05-09
988,华工科技,蓝宝石,21,2023-05-09
300285,国瓷材料,蓝宝石,21,2023-05-09
969,安泰科技,蓝宝石,21,2023-05-09
300433,蓝思科技,蓝宝石,21,2023-05-09
600330,天通股份,蓝宝石,21,2023-05-09
2049,紫光国微,蓝宝石,21,2023-05-09
300316,晶盛机电,蓝宝石,21,2023-05-09
688478,晶升股份,蓝宝石,21,2023-05-09
